conn_from,conn_to,edge_type
000243482Nell, 165984737Katharine, mother
000243482Nell, 319098993Perry, mother
000243482Nell, 647341709Bartholomew, wife
000243482Nell, 731364069Jess, mother
000243482Nell, 872619752JASON, grand mother
000243482Nell, 889786094TOBY, mother
000243482Nell, 924288825JOSHUA, wife
000287344MARINA, 332340870Clarence, sister
000287344MARINA, 659151658JAY, sister
000563566Ardelia, 141388751Carlton, niece
000563566Ardelia, 342872703Merida, sister
000563566Ardelia, 626988132Wheeler, sister
001279642Dora, 567587617Lige, father
001279642Dora, 572501878Elena, father
001279642Dora, 629975487Linnie, husband
001279642Dora, 864638836Wong, father
001279642Dora, 871244009PAIGE, father
004092917Adolph, 319098993Perry, wife
004092917Adolph, 714520448Una, grand child
004092917Adolph, 872619752JASON, mother
004487367MAX, 168028727Roxanna, father
004487367MAX, 329534049Neppie, husband
004487367MAX, 510371511Minervia, father
004487367MAX, 626988132Wheeler, father
005306483Delia, 171342483Angus, wife
005559520MIRIAM, 799473738Bruno, sister
006609564Joe, 075835871Louis, niece
006609564Joe, 162563546Chin, niece
006740974Selma, 150047046Claudie, mother
006740974Selma, 248701310SYBIL, grand mother
006740974Selma, 265322818JOANNE, mother
006740974Selma, 493104916Clement, mother
006740974Selma, 496947921Hal, wife
006740974Selma, 564110168ANGELA, grand mother
006740974Selma, 606994739Euphemia, grand mother
006740974Selma, 626611613Ward, grand mother
006740974Selma, 629183388Luis, wife
006740974Selma, 716824764Porter, wife
006740974Selma, 777755169Berta, mother
006740974Selma, 826184166Verna, mother
006740974Selma, 880251177Myron, grand mother
006740974Selma, 906447946HOLLY, grand mother
006740974Selma, 920451159Albertine, grand mother
007063457Cordia, 194568290Jeannette, niece
007063457Cordia, 433995199Fern, grand child
007063457Cordia, 852061711Haywood, wife
011531279Kittie, 054871907Issac, wife
011531279Kittie, 648480107ANDREA, mother
011531279Kittie, 967598265Willian, mother
011776373ALFRED, 742640019SOPHIE, husband
013001653WINIFRED, 162724241Arvilla, grand mother
013001653WINIFRED, 489053527Osborne, mother
013001653WINIFRED, 702421933RICHARD, wife
013001653WINIFRED, 716141005Emory, mother
014838952Arvilla, 231663473Woodie, wife
015733186Jasper, 698323754Roseanna, husband
015733186Jasper, 900078592KAREN, father
017090314Liza, 102943984HEATHER, sister
018765328Caesar, 922032271Ollie, nephew
018765328Caesar, 947014846Spencer, husband
019738535Etta, 367303413Author, wife
019738535Etta, 947266760Earl, mother
019906524RICHARD, 549376363Maudie, husband
020472309Woodie, 345609574Orpha, husband
020472309Woodie, 558956211Coleman, father
020472309Woodie, 717318995Edmond, father
020472309Woodie, 741712101CHANTELLE, father
021859736Wesley, 597940955Cherry, husband
022210531Marcellus, 264065911JOE, brother
022210531Marcellus, 885263151Gwendolyn, brother
022637087Effa, 071493228Alva, sister
022637087Effa, 196319500Bishop, sister
022637087Effa, 387132749Ransom, sister
022637087Effa, 799378615RUSSELL, brother
022637087Effa, 997939409JUDITH, niece
023908742Burl, 120647913Evaline, husband
023908742Burl, 454280064GILBERT, father
023908742Burl, 531840332Blaine, father
023908742Burl, 624003551Lige, father
023908742Burl, 640348510Bess, husband
023908742Burl, 838884728Bishop, father
023908742Burl, 936017667Henery, father
023908742Burl, 954032189KEVIN, father
023908742Burl, 959180880Phebe, husband
025270238Sylvester, 458714508Ivy, uncle
025270238Sylvester, 582376381Caleb, uncle
025270238Sylvester, 582828385NATASHA, husband
025270238Sylvester, 670854743Jewel, uncle
025270238Sylvester, 680717945Ferdinand, uncle
025270238Sylvester, 853962407Ned, uncle
025270238Sylvester, 947014846Spencer, uncle
025270238Sylvester, 993351634Cliff, brother
025884791Darius, 433995199Fern, grand child
025884791Darius, 445782145ALICE, husband
025884791Darius, 612151709Myrtle, father
026267112Early, 203165555Aline, father
026267112Early, 271891163GERALDINE, husband
026789946LINDSEY, 922536319Lonie, wife
031520162DOMINIC, 367940248Juana, father
031520162DOMINIC, 444571600HANNAH, grand child
031520162DOMINIC, 685492949Joe, husband
031520162DOMINIC, 688003098Rosanna, father
033586378Wilber, 444571600HANNAH, nephew
033586378Wilber, 922032271Ollie, nephew
034890921Pleasant, 842312807Charley, wife
036534841RUSSELL, 587769910HEIDI, grand child
036534841RUSSELL, 612180655Caddie, husband
036534841RUSSELL, 816417667Evie, nephew
039316752HERBERT, 606994739Euphemia, father
039316752HERBERT, 626611613Ward, father
039316752HERBERT, 777755169Berta, husband
039316752HERBERT, 880251177Myron, father
039316752HERBERT, 906447946HOLLY, father
